Artikelnr.,Ordercode,RoHS-compatibel?,Opmerkingen,Hoeveelheid,Artikelnummer fabrikant,Naam fabrikant,Fabrikant / beschrijving,Beschikbaarheid,Prijs per stuk,Artikelprijs,Prijs na korting
24,1469975,Y-EX,,10.0,"CRCW1206100KFKEA",VISHAY,"VISHAY  SMD Chip Resistor, 100 kohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",11278,0.0526,0.53,,
25,1469970,Y-EX,,10.0,"CRCW120610K0FKEA",VISHAY,"VISHAY  SMD Chip Resistor, 10 kohm, CRCW Series, 200 V, Thick Film, 1206 [3216 Metric], 250 mW",6540,0.0414,0.41,,
26,1467755,YES,,12.0,"ST485EBDR",STMICROELECTRONICS,"STMICROELECTRONICS  Transceiver RS422/RS485 Driver, 4.75V-5.25V Supply, SOIC-8",607,0.5950,7.14,,
27,2854542,YES,,3.0,"LM78M05CDTX/NOPB",TEXAS INSTRUMENTS,"TEXAS INSTRUMENTS  LDO, FIXED, 5V, 0.5A, TO-252-3",2500,1.2400,3.72,,
28,2764750,YES,,6.0,"INA326EA/2K5",TEXAS INSTRUMENTS,"TEXAS INSTRUMENTS  Instrument Amplifier, 1 Amplifier, 20 µV, 1 kHz, 2.7V to 5.5V, MSOP",3893,4.2500,25.50,,
29,2696647,YES,,3.0,"PIC16F18854-I/SO",MICROCHIP,"MICROCHIP  8 Bit Microcontroller, PIC16 Family PIC16F18xx Series Microcontrollers, 32 MHz, 7 KB, 512 Byte",290,1.0200,3.06,,
30,1234684,YES,,3.0,"REF3025AIDBZTG4",TEXAS INSTRUMENTS,"TEXAS INSTRUMENTS  Voltage Reference, Precision, Low Power, Series - Fixed, REF3025 Series, 2.5V, SOT-23-3",1215,1.2700,3.81,,
31,1469236,YES,,3.0,"LM35DZ/NOPB",TEXAS INSTRUMENTS,"TEXAS INSTRUMENTS  Temperature Sensor IC, Voltage, ± 0.4°C, +2 °C, +100 °C, TO-92, 3 Pins",32022,1.5000,4.50,,
32,2727944,YES,,5.0,"BVSS123LT1G",ON SEMICONDUCTOR,"ON SEMICONDUCTOR  MOSFET Transistor, N Channel, 170 mA, 100 V, 6 ohm, 10 V, 2.6 V",802,0.0509,0.25,,

,,,,,,,Subtotaal,91.79
,,,,,,,Totaal aantal goederen,91.79
,,,,,,,Levering,0.00
,,,,,,,BTW,19.28
,,,,,,,Totaal,111.06
